index,maxPdgVertices,lackOfCohesion,verticesCount,edgesCount,edgesToVerticesRatio,globalInput,globalOutput,directFanIn,indirectFanIn,directFanOut,indirectFanOut,pdg_task_nodes,pdg_order_edges,pdg_def_edges,pdg_use_edges
count,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0,37796.0
mean,71.36871626627156,0.002399350065462559,71.36871626627156,103.61760503757012,1.179423059657379,25.18367022965393,0.8019367128796698,57.64451264684094,1596.289766112816,24.07992909302572,387.1673192930469,8.930786326595406,22.138162768546938,17.876071541962112,0.0
std,160.6300850545622,0.0369681359639334,160.6300850545622,323.0616560485425,0.2876064907943984,59.87562647593857,2.6189055812522426,229.83524078432288,21213.346999951442,169.20068669542607,6930.204523699585,19.255761770049418,167.13097819151724,40.89435520112586,0.0
min,3.0,0.0,3.0,2.0,0.35294117647058826,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25%,16.0,0.0,16.0,17.0,1.0,5.0,0.0,7.0,11.0,2.0,0.0,2.0,1.0,4.0,0.0
50%,32.0,0.0,32.0,37.0,1.1538461538461537,11.0,0.0,18.0,47.0,5.0,4.0,4.0,4.0,8.0,0.0
75%,69.0,0.0,69.0,90.0,1.3098591549295775,24.0,1.0,46.0,245.0,15.0,37.0,9.0,12.0,17.0,0.0
max,5403.0,1.0,5403.0,30313.0,12.609400998336106,1989.0,57.0,28892.0,1346690.0,27499.0,506596.0,625.0,27425.0,1383.0,0.0
